Date;GDP YOY;CPI YOY;InflationTrend;GrowthTrend;RecessionFlag;Regime
1970-12-31;-0.2;5.6;;;1;Recessionary Pressure
1971-01-31;-0.2;5.3;;;1;Recessionary Pressure
1971-02-28;-0.2;5.0;;;1;Recessionary Pressure
1971-06-30;3.1;4.6;Falling;Rising;0;Disinflationary Expansion
1971-07-31;3.1;4.4;Falling;Rising;0;Disinflationary Expansion
1971-08-31;3.1;4.6;Falling;Rising;0;Disinflationary Expansion
1971-09-30;3.0;4.1;Falling;Rising;0;Disinflationary Expansion
1971-10-31;3.0;3.8;Falling;Rising;0;Disinflationary Expansion
1971-11-30;3.0;3.3;Falling;Rising;0;Disinflationary Expansion
1971-12-31;4.4;3.3;Falling;Rising;0;Disinflationary Expansion
1972-01-31;4.4;3.3;Falling;Rising;0;Disinflationary Expansion
1972-02-29;4.4;3.5;Falling;Rising;0;Disinflationary Expansion
1972-03-31;3.5;3.5;Falling;Rising;0;Disinflationary Expansion
1972-04-30;3.5;3.5;Falling;Rising;0;Disinflationary Expansion
1972-05-31;3.5;3.2;Falling;Rising;0;Disinflationary Expansion
1972-06-30;5.2;2.7;Falling;Rising;0;Disinflationary Expansion
1972-07-31;5.2;2.9;Falling;Rising;0;Disinflationary Expansion
1972-08-31;5.2;2.9;Falling;Rising;0;Disinflationary Expansion
1972-09-30;5.4;3.2;Falling;Rising;0;Disinflationary Expansion
1972-10-31;5.4;3.4;Falling;Rising;0;Disinflationary Expansion
1972-11-30;5.4;3.7;Rising;Rising;0;Reflation / Overheating
1972-12-31;6.9;3.4;Rising;Rising;0;Reflation / Overheating
1973-01-31;6.9;3.6;Rising;Rising;0;Reflation / Overheating
1973-02-28;6.9;3.9;Rising;Rising;0;Reflation / Overheating
1973-03-31;7.6;4.6;Rising;Rising;0;Reflation / Overheating
1973-04-30;7.6;5.1;Rising;Rising;0;Reflation / Overheating
1973-05-31;7.6;5.5;Rising;Rising;0;Reflation / Overheating
1973-06-30;6.3;6.0;Rising;Falling;0;High Inflation / Slowing Growth
1973-07-31;6.3;5.7;Rising;Falling;0;High Inflation / Slowing Growth
1973-08-31;6.3;7.4;Rising;Falling;0;High Inflation / Slowing Growth
1973-09-30;4.8;7.4;Rising;Falling;0;High Inflation / Slowing Growth
1973-10-31;4.8;7.8;Rising;Falling;0;High Inflation / Slowing Growth
1973-11-30;4.8;8.3;Rising;Falling;0;High Inflation / Slowing Growth
1973-12-31;4.0;8.7;Rising;Falling;0;High Inflation / Slowing Growth
1974-01-31;4.0;9.4;Rising;Falling;0;High Inflation / Slowing Growth
1974-02-28;4.0;10.0;Rising;Falling;0;High Inflation / Slowing Growth
1974-03-31;0.6;10.4;Rising;Falling;0;High Inflation / Slowing Growth
1974-04-30;0.6;10.1;Rising;Falling;0;High Inflation / Slowing Growth
1974-05-31;0.6;10.7;Rising;Falling;0;High Inflation / Slowing Growth
1974-06-30;-0.2;10.9;Rising;Falling;1;Recessionary Pressure
1974-07-31;-0.2;11.5;Rising;Falling;1;Recessionary Pressure
1974-08-31;-0.2;10.9;Rising;Falling;1;Recessionary Pressure
1974-09-30;-0.6;11.9;Rising;Falling;1;Recessionary Pressure
1974-10-31;-0.6;12.1;Rising;Falling;1;Recessionary Pressure
1974-11-30;-0.6;12.2;Rising;Falling;1;Recessionary Pressure
1974-12-31;-1.9;12.3;Rising;Falling;1;Recessionary Pressure
1975-01-31;-1.9;11.8;Rising;Falling;1;Recessionary Pressure
1975-02-28;-1.9;11.2;Rising;Falling;1;Recessionary Pressure
1975-03-31;-2.3;10.3;Falling;Falling;1;Recessionary Pressure
1975-04-30;-2.3;10.2;Falling;Falling;1;Recessionary Pressure
1975-05-31;-2.3;9.5;Falling;Falling;1;Recessionary Pressure
1975-06-30;-1.8;9.4;Falling;Rising;1;Recessionary Pressure
1975-07-31;-1.8;9.7;Falling;Rising;1;Recessionary Pressure
1975-08-31;-1.8;8.6;Falling;Rising;1;Recessionary Pressure
1975-09-30;0.8;7.9;Falling;Rising;0;Disinflationary Expansion
1975-10-31;0.8;7.4;Falling;Rising;0;Disinflationary Expansion
1975-11-30;0.8;7.4;Falling;Rising;0;Disinflationary Expansion
1975-12-31;2.6;6.9;Falling;Rising;0;Disinflationary Expansion
1976-01-31;2.6;6.7;Falling;Rising;0;Disinflationary Expansion
1976-02-29;2.6;6.3;Falling;Rising;0;Disinflationary Expansion
1976-03-31;6.2;6.1;Falling;Rising;0;Disinflationary Expansion
1976-04-30;6.2;6.0;Falling;Rising;0;Disinflationary Expansion
1976-05-31;6.2;6.2;Falling;Rising;0;Disinflationary Expansion
1976-06-30;6.2;6.0;Falling;Rising;0;Disinflationary Expansion
1976-07-31;6.2;5.4;Falling;Rising;0;Disinflationary Expansion
1976-08-31;6.2;5.7;Falling;Rising;0;Disinflationary Expansion
1976-09-30;5.0;5.5;Falling;Falling;0;Recessionary Pressure
1976-10-31;5.0;5.5;Falling;Falling;0;Recessionary Pressure
1976-11-30;5.0;4.9;Falling;Falling;0;Recessionary Pressure
1976-12-31;4.3;4.9;Falling;Falling;0;Recessionary Pressure
1977-01-31;4.3;5.2;Falling;Falling;0;Recessionary Pressure
1977-02-28;4.3;5.9;Rising;Falling;0;High Inflation / Slowing Growth
1977-03-31;3.2;6.4;Rising;Falling;0;High Inflation / Slowing Growth
1977-04-30;3.2;7.0;Rising;Falling;0;High Inflation / Slowing Growth
1977-05-31;3.2;6.7;Rising;Falling;0;High Inflation / Slowing Growth
1977-06-30;4.5;6.9;Rising;Rising;0;Reflation / Overheating
1977-07-31;4.5;6.8;Rising;Rising;0;Reflation / Overheating
1977-08-31;4.5;6.6;Rising;Rising;0;Reflation / Overheating
1977-09-30;5.8;6.6;Rising;Rising;0;Reflation / Overheating
1977-10-31;5.8;6.4;Falling;Rising;0;Disinflationary Expansion
1977-11-30;5.8;6.7;Flat;Rising;0;Neutral/Transition
1977-12-31;5.0;6.7;Falling;Rising;0;Disinflationary Expansion
1978-01-31;5.0;6.8;Flat;Rising;0;Neutral/Transition
1978-02-28;5.0;6.4;Falling;Rising;0;Disinflationary Expansion
1978-03-31;4.1;6.6;Flat;Falling;0;Neutral/Transition
1978-04-30;4.1;6.5;Rising;Falling;0;High Inflation / Slowing Growth
1978-05-31;4.1;7.0;Rising;Falling;0;High Inflation / Slowing Growth
1978-06-30;6.1;7.4;Rising;Rising;0;Reflation / Overheating
1978-07-31;6.1;7.7;Rising;Rising;0;Reflation / Overheating
1978-08-31;6.1;7.8;Rising;Rising;0;Reflation / Overheating
1978-09-30;5.2;8.3;Rising;Rising;0;Reflation / Overheating
1978-10-31;5.2;8.9;Rising;Rising;0;Reflation / Overheating
1978-11-30;5.2;8.9;Rising;Rising;0;Reflation / Overheating
1978-12-31;6.7;9.0;Rising;Rising;0;Reflation / Overheating
1979-01-31;6.7;9.3;Rising;Rising;0;Reflation / Overheating
1979-02-28;6.7;9.9;Rising;Rising;0;Reflation / Overheating
1979-03-31;6.5;10.1;Rising;Rising;0;Reflation / Overheating
1979-04-30;6.5;10.5;Rising;Rising;0;Reflation / Overheating
1979-05-31;6.5;10.9;Rising;Rising;0;Reflation / Overheating
1979-06-30;2.7;10.9;Rising;Falling;0;High Inflation / Slowing Growth
1979-07-31;2.7;11.3;Rising;Falling;0;High Inflation / Slowing Growth
1979-08-31;2.7;11.8;Rising;Falling;0;High Inflation / Slowing Growth
1979-09-30;2.4;12.2;Rising;Falling;0;High Inflation / Slowing Growth
1979-10-31;2.4;12.1;Rising;Falling;0;High Inflation / Slowing Growth
1979-11-30;2.4;12.6;Rising;Falling;0;High Inflation / Slowing Growth
1979-12-31;1.3;13.3;Rising;Falling;0;High Inflation / Slowing Growth
1980-01-31;1.3;13.9;Rising;Falling;0;High Inflation / Slowing Growth
1980-02-29;1.3;14.2;Rising;Falling;0;High Inflation / Slowing Growth
1980-03-31;1.4;14.8;Rising;Falling;0;High Inflation / Slowing Growth
1980-04-30;1.4;14.7;Rising;Falling;0;High Inflation / Slowing Growth
1980-05-31;1.4;14.4;Rising;Falling;0;High Inflation / Slowing Growth
1980-06-30;-0.8;14.4;Rising;Falling;1;Recessionary Pressure
1980-07-31;-0.8;13.1;Falling;Falling;1;Recessionary Pressure
1980-08-31;-0.8;12.9;Falling;Falling;1;Recessionary Pressure
1980-09-30;-1.6;12.6;Falling;Falling;1;Recessionary Pressure
1980-10-31;-1.6;12.8;Falling;Falling;1;Recessionary Pressure
1980-11-30;-1.6;12.6;Falling;Falling;1;Recessionary Pressure
1980-12-31;0.0;12.5;Falling;Rising;1;Recessionary Pressure
1981-01-31;0.0;11.8;Falling;Rising;1;Recessionary Pressure
1981-02-28;0.0;11.4;Falling;Rising;1;Recessionary Pressure
1981-03-31;1.6;10.5;Falling;Rising;0;Disinflationary Expansion
1981-04-30;1.6;10.0;Falling;Rising;0;Disinflationary Expansion
1981-05-31;1.6;9.8;Falling;Rising;0;Disinflationary Expansion
1981-06-30;3.0;9.6;Falling;Rising;0;Disinflationary Expansion
1981-07-31;3.0;10.8;Falling;Rising;0;Disinflationary Expansion
1981-08-31;3.0;10.8;Falling;Rising;0;Disinflationary Expansion
1981-09-30;4.3;11.0;Rising;Rising;0;Reflation / Overheating
1981-10-31;4.3;10.1;Rising;Rising;0;Reflation / Overheating
1981-11-30;4.3;9.6;Falling;Rising;0;Disinflationary Expansion
1981-12-31;1.3;8.9;Falling;Falling;0;Recessionary Pressure
1982-01-31;1.3;8.4;Falling;Falling;0;Recessionary Pressure
1982-02-28;1.3;7.6;Falling;Falling;0;Recessionary Pressure
1982-03-31;-2.2;6.8;Falling;Falling;1;Recessionary Pressure
1982-04-30;-2.2;6.5;Falling;Falling;1;Recessionary Pressure
1982-05-31;-2.2;6.7;Falling;Falling;1;Recessionary Pressure
1982-06-30;-1.0;7.1;Falling;Falling;1;Recessionary Pressure
1982-07-31;-1.0;6.4;Falling;Falling;1;Recessionary Pressure
1982-08-31;-1.0;5.9;Falling;Falling;1;Recessionary Pressure
1982-09-30;-2.6;5.0;Falling;Falling;1;Recessionary Pressure
1982-10-31;-2.6;5.1;Falling;Falling;1;Recessionary Pressure
1982-11-30;-2.6;4.6;Falling;Falling;1;Recessionary Pressure
1982-12-31;-1.4;3.8;Falling;Falling;1;Recessionary Pressure
1983-01-31;-1.4;3.7;Falling;Falling;1;Recessionary Pressure
1983-02-28;-1.4;3.5;Falling;Falling;1;Recessionary Pressure
1983-03-31;1.4;3.6;Falling;Rising;0;Disinflationary Expansion
1983-04-30;1.4;3.9;Falling;Rising;0;Disinflationary Expansion
1983-05-31;1.4;3.5;Falling;Rising;0;Disinflationary Expansion
1983-06-30;3.3;2.6;Falling;Rising;0;Disinflationary Expansion
1983-07-31;3.3;2.5;Falling;Rising;0;Disinflationary Expansion
1983-08-31;3.3;2.6;Falling;Rising;0;Disinflationary Expansion
1983-09-30;5.7;2.9;Falling;Rising;0;Disinflationary Expansion
1983-10-31;5.7;2.9;Falling;Rising;0;Disinflationary Expansion
1983-11-30;5.7;3.3;Falling;Rising;0;Disinflationary Expansion
1983-12-31;7.9;3.8;Rising;Rising;0;Reflation / Overheating
1984-01-31;7.9;4.2;Rising;Rising;0;Reflation / Overheating
1984-02-29;7.9;4.6;Rising;Rising;0;Reflation / Overheating
1984-03-31;8.6;4.8;Rising;Rising;0;Reflation / Overheating
1984-04-30;8.6;4.6;Rising;Rising;0;Reflation / Overheating
1984-05-31;8.6;4.2;Rising;Rising;0;Reflation / Overheating
1984-06-30;8.0;4.2;Rising;Rising;0;Reflation / Overheating
1984-07-31;8.0;4.2;Flat;Rising;0;Neutral/Transition
1984-08-31;8.0;4.3;Falling;Rising;0;Disinflationary Expansion
1984-09-30;6.9;4.3;Falling;Falling;0;Recessionary Pressure
1984-10-31;6.9;4.3;Falling;Falling;0;Recessionary Pressure
1984-11-30;6.9;4.1;Falling;Falling;0;Recessionary Pressure
1984-12-31;5.6;3.9;Falling;Falling;0;Recessionary Pressure
1985-01-31;5.6;3.5;Falling;Falling;0;Recessionary Pressure
1985-02-28;5.6;3.5;Falling;Falling;0;Recessionary Pressure
1985-03-31;4.6;3.7;Falling;Falling;0;Recessionary Pressure
1985-04-30;4.6;3.7;Falling;Falling;0;Recessionary Pressure
1985-05-31;4.6;3.8;Falling;Falling;0;Recessionary Pressure
1985-06-30;3.7;3.8;Falling;Falling;0;Recessionary Pressure
1985-07-31;3.7;3.6;Rising;Falling;0;High Inflation / Slowing Growth
1985-08-31;3.7;3.3;Falling;Falling;0;Recessionary Pressure
1985-09-30;4.3;3.1;Falling;Falling;0;Recessionary Pressure
1985-10-31;4.3;3.2;Falling;Falling;0;Recessionary Pressure
1985-11-30;4.3;3.5;Falling;Falling;0;Recessionary Pressure
1985-12-31;4.2;3.8;Flat;Rising;0;Neutral/Transition
1986-01-31;4.2;3.9;Rising;Rising;0;Reflation / Overheating
1986-02-28;4.2;3.1;Falling;Rising;0;Disinflationary Expansion
1986-03-31;4.1;2.3;Falling;Falling;0;Recessionary Pressure
1986-04-30;4.1;1.6;Falling;Falling;0;Recessionary Pressure
1986-05-31;4.1;1.5;Falling;Falling;0;Recessionary Pressure
1986-06-30;3.7;1.8;Falling;Falling;0;Recessionary Pressure
1986-07-31;3.7;1.6;Falling;Falling;0;Recessionary Pressure
1986-08-31;3.7;1.6;Falling;Falling;0;Recessionary Pressure
1986-09-30;3.1;1.8;Falling;Falling;0;Recessionary Pressure
1986-10-31;3.1;1.5;Falling;Falling;0;Recessionary Pressure
1986-11-30;3.1;1.3;Falling;Falling;0;Recessionary Pressure
1986-12-31;2.9;1.1;Falling;Falling;0;Recessionary Pressure
1987-01-31;2.9;1.5;Falling;Falling;0;Recessionary Pressure
1987-02-28;2.9;2.1;Rising;Falling;0;High Inflation / Slowing Growth
1987-03-31;2.7;3.0;Rising;Falling;0;High Inflation / Slowing Growth
1987-04-30;2.7;3.8;Rising;Falling;0;High Inflation / Slowing Growth
1987-05-31;2.7;3.9;Rising;Falling;0;High Inflation / Slowing Growth
1987-06-30;3.4;3.7;Rising;Rising;0;Reflation / Overheating
1987-07-31;3.4;3.9;Rising;Rising;0;Reflation / Overheating
1987-08-31;3.4;4.3;Rising;Rising;0;Reflation / Overheating
1987-09-30;3.3;4.4;Rising;Rising;0;Reflation / Overheating
1987-10-31;3.3;4.5;Rising;Rising;0;Reflation / Overheating
1987-11-30;3.3;4.5;Rising;Rising;0;Reflation / Overheating
1987-12-31;4.5;4.4;Rising;Rising;0;Reflation / Overheating
1988-01-31;4.5;4.0;Rising;Rising;0;Reflation / Overheating
1988-02-29;4.5;3.9;Falling;Rising;0;Disinflationary Expansion
1988-03-31;4.2;3.9;Falling;Rising;0;Disinflationary Expansion
1988-04-30;4.2;3.9;Falling;Rising;0;Disinflationary Expansion
1988-05-31;4.2;3.9;Falling;Rising;0;Disinflationary Expansion
1988-06-30;4.5;4.0;Falling;Flat;0;Neutral/Transition
1988-07-31;4.5;4.1;Rising;Flat;0;Neutral/Transition
1988-08-31;4.5;4.0;Rising;Flat;0;Neutral/Transition
1988-09-30;4.2;4.2;Rising;Flat;0;Neutral/Transition
1988-10-31;4.2;4.2;Rising;Flat;0;Neutral/Transition
1988-11-30;4.2;4.2;Rising;Flat;0;Neutral/Transition
1988-12-31;3.8;4.4;Rising;Falling;0;High Inflation / Slowing Growth
1989-01-31;3.8;4.7;Rising;Falling;0;High Inflation / Slowing Growth
1989-02-28;3.8;4.8;Rising;Falling;0;High Inflation / Slowing Growth
1989-03-31;4.3;5.0;Rising;Rising;0;Reflation / Overheating
1989-04-30;4.3;5.1;Rising;Rising;0;Reflation / Overheating
1989-05-31;4.3;5.4;Rising;Rising;0;Reflation / Overheating
1989-06-30;3.7;5.2;Rising;Falling;0;High Inflation / Slowing Growth
1989-07-31;3.7;5.0;Rising;Falling;0;High Inflation / Slowing Growth
1989-08-31;3.7;4.7;Falling;Falling;0;Recessionary Pressure
1989-09-30;3.9;4.3;Falling;Falling;0;Recessionary Pressure
1989-10-31;3.9;4.5;Falling;Falling;0;Recessionary Pressure
1989-11-30;3.9;4.7;Falling;Falling;0;Recessionary Pressure
1989-12-31;2.7;4.6;Falling;Falling;0;Recessionary Pressure
1990-01-31;2.7;5.2;Rising;Falling;0;High Inflation / Slowing Growth
1990-02-28;2.7;5.3;Rising;Falling;0;High Inflation / Slowing Growth
1990-03-31;2.8;5.2;Rising;Falling;0;High Inflation / Slowing Growth
1990-04-30;2.8;4.7;Rising;Falling;0;High Inflation / Slowing Growth
1990-05-31;2.8;4.4;Falling;Falling;0;Recessionary Pressure
1990-06-30;2.4;4.7;Rising;Falling;0;High Inflation / Slowing Growth
1990-07-31;2.4;4.8;Falling;Falling;0;Recessionary Pressure
1990-08-31;2.4;5.6;Rising;Falling;0;High Inflation / Slowing Growth
1990-09-30;1.7;6.2;Rising;Falling;0;High Inflation / Slowing Growth
1990-10-31;1.7;6.3;Rising;Falling;0;High Inflation / Slowing Growth
1990-11-30;1.7;6.3;Rising;Falling;0;High Inflation / Slowing Growth
1990-12-31;0.6;6.1;Rising;Falling;0;High Inflation / Slowing Growth
1991-01-31;0.6;5.7;Rising;Falling;0;High Inflation / Slowing Growth
1991-02-28;0.6;5.3;Falling;Falling;0;Recessionary Pressure
1991-03-31;-1.0;4.9;Falling;Falling;1;Recessionary Pressure
1991-04-30;-1.0;4.9;Falling;Falling;1;Recessionary Pressure
1991-05-31;-1.0;5.0;Falling;Falling;1;Recessionary Pressure
1991-06-30;-0.5;4.7;Falling;Falling;1;Recessionary Pressure
1991-07-31;-0.5;4.4;Falling;Falling;1;Recessionary Pressure
1991-08-31;-0.5;3.8;Falling;Falling;1;Recessionary Pressure
1991-09-30;-0.1;3.4;Falling;Rising;1;Recessionary Pressure
1991-10-31;-0.1;2.9;Falling;Rising;1;Recessionary Pressure
1991-11-30;-0.1;3.0;Falling;Rising;1;Recessionary Pressure
1991-12-31;1.2;3.1;Falling;Rising;0;Disinflationary Expansion
1992-01-31;1.2;2.6;Falling;Rising;0;Disinflationary Expansion
1992-02-29;1.2;2.8;Falling;Rising;0;Disinflationary Expansion
1992-03-31;2.9;3.2;Falling;Rising;0;Disinflationary Expansion
1992-04-30;2.9;3.2;Rising;Rising;0;Reflation / Overheating
1992-05-31;2.9;3.0;Flat;Rising;0;Neutral/Transition
1992-06-30;3.2;3.1;Flat;Rising;0;Neutral/Transition
1992-07-31;3.2;3.2;Rising;Rising;0;Reflation / Overheating
1992-08-31;3.2;3.1;Rising;Rising;0;Reflation / Overheating
1992-09-30;3.7;3.0;Falling;Rising;0;Disinflationary Expansion
1992-10-31;3.7;3.2;Flat;Rising;0;Neutral/Transition
1992-11-30;3.7;3.0;Flat;Rising;0;Neutral/Transition
1992-12-31;4.4;2.9;Falling;Rising;0;Disinflationary Expansion
1993-01-31;4.4;3.3;Rising;Rising;0;Reflation / Overheating
1993-02-28;4.4;3.2;Rising;Rising;0;Reflation / Overheating
1993-03-31;3.3;3.1;Rising;Falling;0;High Inflation / Slowing Growth
1993-04-30;3.3;3.2;Flat;Falling;0;Neutral/Transition
1993-05-31;3.3;3.2;Rising;Falling;0;High Inflation / Slowing Growth
1993-06-30;2.8;3.0;Rising;Falling;0;High Inflation / Slowing Growth
1993-07-31;2.8;2.8;Falling;Falling;0;Recessionary Pressure
1993-08-31;2.8;2.8;Falling;Falling;0;Recessionary Pressure
1993-09-30;2.3;2.7;Falling;Falling;0;Recessionary Pressure
1993-10-31;2.3;2.8;Falling;Falling;0;Recessionary Pressure
1993-11-30;2.3;2.7;Falling;Falling;0;Recessionary Pressure
1993-12-31;2.6;2.7;Falling;Falling;0;Recessionary Pressure
1994-01-31;2.6;2.5;Falling;Falling;0;Recessionary Pressure
1994-02-28;2.6;2.5;Falling;Falling;0;Recessionary Pressure
1994-03-31;3.4;2.5;Falling;Rising;0;Disinflationary Expansion
1994-04-30;3.4;2.4;Falling;Rising;0;Disinflationary Expansion
1994-05-31;3.4;2.3;Falling;Rising;0;Disinflationary Expansion
1994-06-30;4.2;2.5;Falling;Rising;0;Disinflationary Expansion
1994-07-31;4.2;2.8;Rising;Rising;0;Reflation / Overheating
1994-08-31;4.2;2.9;Rising;Rising;0;Reflation / Overheating
1994-09-30;4.3;3.0;Rising;Rising;0;Reflation / Overheating
1994-10-31;4.3;2.6;Rising;Rising;0;Reflation / Overheating
1994-11-30;4.3;2.7;Rising;Rising;0;Reflation / Overheating
1994-12-31;4.1;2.7;Rising;Falling;0;High Inflation / Slowing Growth
1995-01-31;4.1;2.8;Flat;Falling;0;Neutral/Transition
1995-02-28;4.1;2.9;Flat;Falling;0;Neutral/Transition
1995-03-31;3.5;2.9;Falling;Falling;0;Recessionary Pressure
1995-04-30;3.5;3.1;Rising;Falling;0;High Inflation / Slowing Growth
1995-05-31;3.5;3.2;Rising;Falling;0;High Inflation / Slowing Growth
1995-06-30;2.4;3.0;Rising;Falling;0;High Inflation / Slowing Growth
1995-07-31;2.4;2.8;Flat;Falling;0;Neutral/Transition
1995-08-31;2.4;2.6;Falling;Falling;0;Recessionary Pressure
1995-09-30;2.7;2.5;Falling;Falling;0;Recessionary Pressure
1995-10-31;2.7;2.8;Falling;Falling;0;Recessionary Pressure
1995-11-30;2.7;2.6;Falling;Falling;0;Recessionary Pressure
1995-12-31;2.2;2.5;Falling;Falling;0;Recessionary Pressure
1996-01-31;2.2;2.7;Falling;Falling;0;Recessionary Pressure
1996-02-29;2.2;2.7;Rising;Falling;0;High Inflation / Slowing Growth
1996-03-31;2.6;2.8;Rising;Falling;0;High Inflation / Slowing Growth
1996-04-30;2.6;2.9;Rising;Falling;0;High Inflation / Slowing Growth
1996-05-31;2.6;2.9;Rising;Falling;0;High Inflation / Slowing Growth
1996-06-30;4.0;2.8;Rising;Rising;0;Reflation / Overheating
1996-07-31;4.0;3.0;Rising;Rising;0;Reflation / Overheating
1996-08-31;4.0;2.9;Rising;Rising;0;Reflation / Overheating
1996-09-30;4.1;3.0;Rising;Rising;0;Reflation / Overheating
1996-10-31;4.1;3.0;Rising;Rising;0;Reflation / Overheating
1996-11-30;4.1;3.3;Rising;Rising;0;Reflation / Overheating
1996-12-31;4.4;3.3;Rising;Rising;0;Reflation / Overheating
1997-01-31;4.4;3.0;Flat;Rising;0;Neutral/Transition
1997-02-28;4.4;3.0;Rising;Rising;0;Reflation / Overheating
1997-03-31;4.3;2.8;Falling;Rising;0;Disinflationary Expansion
1997-04-30;4.3;2.5;Falling;Rising;0;Disinflationary Expansion
1997-05-31;4.3;2.2;Falling;Rising;0;Disinflationary Expansion
1997-06-30;4.3;2.3;Falling;Falling;0;Recessionary Pressure
1997-07-31;4.3;2.2;Falling;Falling;0;Recessionary Pressure
1997-08-31;4.3;2.2;Falling;Falling;0;Recessionary Pressure
1997-09-30;4.7;2.2;Falling;Rising;0;Disinflationary Expansion
